SSPN,DMM,60,33
SSPN,PKD,60,21
AGN,G,78,22
AGN,SKS,78,15
NYY,DAVM,20,6
NYY,TVC,20,18
AGI,NCH,24,17
AGI,NMT,24,12
NYP,GDR,104,28
NYP,SPE,104,27
AGC,DHO,126,53
AGC,MTJ,57,54
AGC,IDH,4,1
AGC,RKM,85,4
NYN,ALD,87,7
NYN,MJA,14,31
NYN,JSR,73,16
NYO,PMU,84,4
NYO,STLR,84,8
AGY,CUK,13,12
AGY,CPU,13,10
NYG,JRLI,2,15
NYG,PRNR,2,14
KOTA,DKNT,76,9
KOTA,BUDI,13,38
KOTA,GQL,89,6
KOTA,ATH,16,45
SPX,TPK,2,9
SPX,FKM,2,8
KYJ,KPY,89,14
KYJ,MVLK,55,8
KYJ,HAD,34,13
BWR,NEW,15,9
BWR,JHS,15,22
SRY,SHK,4,10
SRY,LKR,4,16
BWT,MLO,78,27
BWT,KPN,78,34
KYN,KSRA,116,67
KYN,TNA,167,20
KYN,PNVL,6,37
KYN,BIRD,36,25
KYN,NRL,93,33
KYM,DWP,139,9
KYM,RJY,139,10
SPP,MOG,12,13
SPP,MNO,12,7
SPT,MMS,106,19
SPT,IPM,106,18
KYF,NBG,9,8
KYF,JPL,9,8
KYE,BINA,20,22
KYE,JRK,50,18
KYE,MAKR,30,18
KRG,RMP,42,11
KRG,STR,42,10
SPJ,ROA,2,29
SPJ,MKPR,40,4
SPJ,UJP,75,10
SPJ,KPGM,66,6
SPK,BOJ,18,14
SPK,BFD,18,13
KRD,BVNR,42,21
KRD,SIW,42,9
SPN,BTRA,127,9
SPN,MINJ,2,44
SPN,ROZA,125,8
BWH,GMR,109,7
BWH,DLN,109,8
BWI,MLPR,50,13
BWI,SHG,50,11
KYQ,GLPT,24,122
KYQ,CGS,55,15
KYQ,GHY,68,6
SPC,SCC,2,5
SPC,ROZA,2,79
BWL,RE,43,15
BWL,HSI,43,24
BWM,GOH,76,22
BWM,JHW,76,17
BWN,GKH,60,32
BWN,KQU,108,61
BWN,BDC,74,67
BWN,KAN,122,13
KYT,CAR,54,9
KYT,ARW,54,9
UMRI,MUE,27,20
UMRI,KEK,27,16
GR,GUR,55,26
GR,SDB,55,26
GP,GPH,71,19
GP,KXN,71,9
TLHD,ANGL,39,12
TLHD,MRDL,28,15
TLHD,TLHR,11,6
BYT,BYL,84,30
BYT,HN,84,15
TRTR,MNTT,53,8
TRTR,ERS,53,9
GY,KLU,68,30
GY,RLO,25,24
GY,GTL,93,28
BYN,BEA,109,5
BYN,RPR,109,9
