USRA,JKT,7.42
USRA,MAM,6.33
UGD,RPRL,4.34
UGD,CJM,6.46
SPX,TPK,9.32
SPX,FKM,8.31
SPY,KRX,10
SPY,SNKX,6
SPZ,ROHN,4.59
SPZ,ISM,3.76
BSDP,NKP,8
BSDP,MKTP,5.54
SPP,BDUA,3.65
SPP,NNNL,5.12
SPQ,GSA,5.36
SPQ,PBL,10.01
SPR,SBGR,3
SPR,JDP,8
SPR,NRPR,2
SPR,BRP,8
SPT,BAV,9.36
SPT,JPI,6.16
MSSD,TWB,6.68
MSSD,DAU,13.83
SPV,KRNH,4.88
SPV,RRB,10.19
HEI,MLSA,3.76
HEI,TK,5.6
SPJ,BLRI,4.9
SPJ,BGDS,8.2
SPJ,MKPR,3.62
SPJ,KPGM,6.24
SPK,BRNR,6.4
SPK,LPTA,7.42
BSDA,BUT,13
BSDA,KVA,12
RKJE,SDBH,7.17
RKJE,PKA,13.1
SPO,DSO,14.79
SPO,NOK,17.36
BSDL,SSGJ,9.21
BSDL,NWB,9.2
SPC,STRK,2.93
SPC,KATA,8.69
SPC,RAK,11.75
SPD,DJI,8.39
SPD,UA,9.94
SPE,PEL,8.17
SPE,AKAT,5.49
SPF,BPP,6.89
SPF,IPPM,4.02
LGTR,RTN,6.96
LGTR,BBS,4.49
KADI,KLL,20
KADI,DEU,7.54
JNP,BAM,8.87
JNP,NRSP,6.69
PQD,LAV,4.7
PQD,SAJH,3.19
PQE,BEHS,6
PQE,NLD,7
JNU,YDV,6.06
JNU,ZBD,6.28
JNU,MGWN,6.37
JNT,KNG,9.67
JNT,BAT,10.24
PQH,HDM,4.27
PQH,GNL,10.42
JNZ,BLDI,15.64
JNZ,RXN,9.67
WEL,ONR,1
WEL,AVK,3
JNX,JOR,10.79
JNX,MBGA,7.13
PQL,KZJ,7.91
PQL,NSKL,6.13
PQM,MLMR,4.3
PQM,MMK,6.59
PQN,ARKA,10.97
PQN,GRMR,7.11
KUPR,BLND,11.63
KUPR,SCQ,5.44
PQS,BLN,2
PQS,SDAH,3
PQU,SFW,9.53
PQU,UDK,8.6
JNE,PRU,9
JNE,BLT,9
JND,SHH,11.19
JND,TORA,16
JND,VAL,9.97
JNK,SIPA,9.18
JNK,TABU,9.48
KFPR,MHHR,3.95
KFPR,AMRO,11.7
PQZ,NCB,11
PQZ,SJRR,4
JNH,BYHA,14.62
JNH,NBP,9.56
JNH,JUA,9.32
JNH,SQN,5.16
JNO,HRG,10.12
JNO,PCLI,8.08
JNN,CRP,6
JNN,MHQ,9
JNM,BARU,5
JNM,MPRD,4
JNL,TRA,6.48
JNL,MOW,8.96
BEJ,ATW,5.55
BEJ,NM,7.31
BEK,NGG,9.81
BEK,MSDR,5.79
BEH,DIH,6.18
BEH,PNPL,6.22
BEI,BDVT,9.93
BEI,SME,6.45
BEO,BDL,3.92
BEO,GAE,8.28
BEM,SKW,12.88
BEB,REJ,9.22
BEB,BFT,5.96
BEC,COR,2.75
BEC,GSD,9.24
BEC,CNA,4.9
BEA,ASJP,3.63
BEA,RNTE,4.09
BEF,ROB,16.05
BEF,KDTR,10.57
BEG,KUF,8.71
BEG,TDP,6.58
BEE,SCE,3.41
BEE,PUY,5.25
