STN1,STN2,Weight,Bins,Frequency,Intervals
KUR,BBS,159,9,4220,0-9
ANND,BRC,135,19,852,10-19
SA,ED,122,29,321,20-29
TUP,ED,108,39,129,30-39
CTC,BBS,103,49,74,40-49
NLR,GDR,99,59,45,50-59
ND,ANND,98,69,17,60-69
BSL,JL,97,79,14,70-79
TUP,CBE,91,89,4,80-89
KPD,JTJ,88,99,4,90-99
JSME,MDP,86,109,2,100-109
KYN,TNA,85,119,0,110-119
VZM,VSKP,82,129,1,120-129
EE,BZA,79,139,1,130-139
ND,ADI,78,149,0,140-149
JSME,JAJ,77,159,1,150-159
BH,BRC,75,,0,160+
DR,CSTM,75,,,
JBP,KTE,74,,,
JHS,GWL,73,,,
R,DURG,72,,,
NLR,OGL,71,,,
NJP,KNE,71,,,
VG,ADI,71,,,
CTC,JJKR,70,,,
AWY,TCR,70,,,
ET,BPL,70,,,
DGR,ASN,68,,,
JJKR,BHC,68,,,
RU,TPTY,68,,,
BLS,BHC,68,,,
SEE,HJP,68,,,
PGT,CBE,66,,,
LNL,PUNE,66,,,
DD,PUNE,66,,,
ST,BH,65,,,
KYN,IGP,65,,,
PNU,ABR,64,,,
NK,MMR,64,,,
DGR,BWN,63,,,
STA,KTE,61,,,
HBJ,BPL,61,,,
VAPI,BL,61,,,
RJY,SLO,60,,,
CRJ,ASN,59,,,
ST,BRC,59,,,
CD,BPQ,59,,,
DMM,ATP,58,,,
ON,CNB,58,,,
DNR,PNBE,58,,,
SPN,BE,57,,,
MGS,BSB,57,,,
KOTA,SWM,57,,,
SUNR,VG,57,,,
SKZR,BPQ,57,,,
BNC,SBC,57,,,
CNB,ALD,57,,,
GHY,KYQ,56,,,
SA,JTJ,56,,,
NFK,MLDT,56,,,
RJPB,PNBE,56,,,
MFP,HJP,56,,,
AGC,MTJ,55,,,
LDH,UMB,54,,,
CRJ,MDP,54,,,
KYN,KJT,54,,,
ET,KNW,54,,,
MB,BE,53,,,
KGP,HWH,53,,,
